Save 204 - Episode 981/1500, Score: -85.0 (0.01), AVG Score: -100.89
Save 205 - Episode 982/1500, Score: -104.0 (0.01), AVG Score: -100.89
Save 206 - Episode 983/1500, Score: -99.0 (0.01), AVG Score: -100.83
Save 207 - Episode 984/1500, Score: -105.0 (0.01), AVG Score: -100.74
Save 208 - Episode 986/1500, Score: -99.0 (0.01), AVG Score: -100.58
Save 209 - Episode 987/1500, Score: -105.0 (0.01), AVG Score: -100.6
Save 210 - Episode 988/1500, Score: -104.0 (0.01), AVG Score: -100.58
Save 211 - Episode 989/1500, Score: -104.0 (0.01), AVG Score: -100.75
Save 212 - Episode 990/1500, Score: -97.0 (0.01), AVG Score: -100.69
Save 213 - Episode 991/1500, Score: -102.0 (0.01), AVG Score: -100.85
Save 214 - Episode 992/1500, Score: -107.0 (0.01), AVG Score: -100.9
Save 215 - Episode 993/1500, Score: -105.0 (0.01), AVG Score: -101.05
Save 216 - Episode 994/1500, Score: -100.0 (0.01), AVG Score: -101.01
Save 217 - Episode 995/1500, Score: -104.0 (0.01), AVG Score: -101.18
Save 218 - Episode 996/1500, Score: -103.0 (0.01), AVG Score: -101.38
Save 219 - Episode 997/1500, Score: -103.0 (0.01), AVG Score: -101.39
Save 220 - Episode 998/1500, Score: -104.0 (0.01), AVG Score: -101.59
Save 221 - Episode 999/1500, Score: -96.0 (0.01), AVG Score: -101.69
Save 222 - Episode 1000/1500, Score: -105.0 (0.01), AVG Score: -101.88
Save 223 - Episode 1001/1500, Score: -103.0 (0.01), AVG Score: -102.07
Save 224 - Episode 1002/1500, Score: -102.0 (0.01), AVG Score: -102.02
Save 225 - Episode 1003/1500, Score: -102.0 (0.01), AVG Score: -102.02
Save 226 - Episode 1004/1500, Score: -105.0 (0.01), AVG Score: -102.23
Save 227 - Episode 1005/1500, Score: -103.0 (0.01), AVG Score: -102.2
Save 228 - Episode 1006/1500, Score: -104.0 (0.01), AVG Score: -102.2
Save 229 - Episode 1007/1500, Score: -83.0 (0.01), AVG Score: -101.99
Save 230 - Episode 1008/1500, Score: -106.0 (0.01), AVG Score: -101.93
Save 231 - Episode 1009/1500, Score: -85.0 (0.01), AVG Score: -101.67
Save 232 - Episode 1010/1500, Score: -103.0 (0.01), AVG Score: -101.69
Save 233 - Episode 1011/1500, Score: -104.0 (0.01), AVG Score: -101.88
Save 234 - Episode 1012/1500, Score: -106.0 (0.01), AVG Score: -101.9
Save 235 - Episode 1013/1500, Score: -105.0 (0.01), AVG Score: -101.93
Save 236 - Episode 1014/1500, Score: -106.0 (0.01), AVG Score: -102.12
