Save 124 - Episode 1174/1500, Score: -88.0 (0.01), AVG Score: -106.16
Save 125 - Episode 1175/1500, Score: -86.0 (0.01), AVG Score: -105.93
Save 126 - Episode 1176/1500, Score: -102.0 (0.01), AVG Score: -106.01
Save 127 - Episode 1177/1500, Score: -106.0 (0.01), AVG Score: -105.95
Save 128 - Episode 1179/1500, Score: -95.0 (0.01), AVG Score: -105.09
Save 129 - Episode 1180/1500, Score: -83.0 (0.01), AVG Score: -104.83
Save 130 - Episode 1181/1500, Score: -96.0 (0.01), AVG Score: -104.63
Save 131 - Episode 1184/1500, Score: -102.0 (0.01), AVG Score: -104.56
Save 132 - Episode 1190/1500, Score: -105.0 (0.01), AVG Score: -105.32
Save 133 - Episode 1191/1500, Score: -101.0 (0.01), AVG Score: -105.2
Save 134 - Episode 1192/1500, Score: -94.0 (0.01), AVG Score: -105.27
Save 135 - Episode 1196/1500, Score: -104.0 (0.01), AVG Score: -105.25
Save 136 - Episode 1199/1500, Score: -83.0 (0.01), AVG Score: -105.17
Save 137 - Episode 1201/1500, Score: -101.0 (0.01), AVG Score: -105.19
Save 138 - Episode 1202/1500, Score: -91.0 (0.01), AVG Score: -105.04
Save 139 - Episode 1203/1500, Score: -83.0 (0.01), AVG Score: -104.95
Save 140 - Episode 1205/1500, Score: -97.0 (0.01), AVG Score: -105.05
Save 141 - Episode 1208/1500, Score: -87.0 (0.01), AVG Score: -105.3
Save 142 - Episode 1210/1500, Score: -96.0 (0.01), AVG Score: -105.29
Save 143 - Episode 1211/1500, Score: -87.0 (0.01), AVG Score: -105.24
Save 144 - Episode 1212/1500, Score: -89.0 (0.01), AVG Score: -104.97
Save 145 - Episode 1213/1500, Score: -89.0 (0.01), AVG Score: -104.9
Save 146 - Episode 1218/1500, Score: -101.0 (0.01), AVG Score: -104.33
Save 147 - Episode 1220/1500, Score: -104.0 (0.01), AVG Score: -104.36
Save 148 - Episode 1222/1500, Score: -89.0 (0.01), AVG Score: -104.64
Save 149 - Episode 1225/1500, Score: -88.0 (0.01), AVG Score: -105.53
Save 150 - Episode 1226/1500, Score: -85.0 (0.01), AVG Score: -105.45
Save 151 - Episode 1228/1500, Score: -89.0 (0.01), AVG Score: -105.22
Save 152 - Episode 1229/1500, Score: -90.0 (0.01), AVG Score: -105.21
Save 153 - Episode 1231/1500, Score: -96.0 (0.01), AVG Score: -105.29
Save 154 - Episode 1232/1500, Score: -98.0 (0.01), AVG Score: -105.14
Save 155 - Episode 1233/1500, Score: -107.0 (0.01), AVG Score: -105.11
Save 156 - Episode 1236/1500, Score: -107.0 (0.01), AVG Score: -105.58
Save 157 - Episode 1238/1500, Score: -104.0 (0.01), AVG Score: -105.79
Save 158 - Episode 1242/1500, Score: -108.0 (0.01), AVG Score: -106.04
Save 159 - Episode 1243/1500, Score: -102.0 (0.01), AVG Score: -105.97
Save 160 - Episode 1249/1500, Score: -91.0 (0.01), AVG Score: -106.2
Save 161 - Episode 1250/1500, Score: -85.0 (0.01), AVG Score: -105.87
Save 162 - Episode 1252/1500, Score: -93.0 (0.01), AVG Score: -106.72
Save 163 - Episode 1254/1500, Score: -101.0 (0.01), AVG Score: -106.76
Save 164 - Episode 1255/1500, Score: -102.0 (0.01), AVG Score: -106.57
Save 165 - Episode 1257/1500, Score: -88.0 (0.01), AVG Score: -106.23
Save 166 - Episode 1260/1500, Score: -89.0 (0.01), AVG Score: -106.52
Save 167 - Episode 1261/1500, Score: -84.0 (0.01), AVG Score: -106.17
Save 168 - Episode 1264/1500, Score: -86.0 (0.01), AVG Score: -105.85
Save 169 - Episode 1267/1500, Score: -95.0 (0.01), AVG Score: -106.09
Save 170 - Episode 1268/1500, Score: -84.0 (0.01), AVG Score: -106.03
Save 171 - Episode 1269/1500, Score: -95.0 (0.01), AVG Score: -105.87
Save 172 - Episode 1270/1500, Score: -94.0 (0.01), AVG Score: -105.69
Save 173 - Episode 1272/1500, Score: -98.0 (0.01), AVG Score: -105.79
Save 174 - Episode 1274/1500, Score: -100.0 (0.01), AVG Score: -105.99
Save 175 - Episode 1275/1500, Score: -85.0 (0.01), AVG Score: -105.98
Save 176 - Episode 1276/1500, Score: -106.0 (0.01), AVG Score: -106.02
Save 177 - Episode 1278/1500, Score: -108.0 (0.01), AVG Score: -106.1
Save 178 - Episode 1279/1500, Score: -88.0 (0.01), AVG Score: -106.03
Save 179 - Episode 1280/1500, Score: -92.0 (0.01), AVG Score: -106.12
Save 180 - Episode 1281/1500, Score: -90.0 (0.01), AVG Score: -106.06
Save 181 - Episode 1282/1500, Score: -91.0 (0.01), AVG Score: -105.86
Save 182 - Episode 1286/1500, Score: -106.0 (0.01), AVG Score: -106.52
Save 183 - Episode 1288/1500, Score: -87.0 (0.01), AVG Score: -106.32
Save 184 - Episode 1289/1500, Score: -108.0 (0.01), AVG Score: -106.24
Save 185 - Episode 1291/1500, Score: -106.0 (0.01), AVG Score: -106.34
Save 186 - Episode 1292/1500, Score: -91.0 (0.01), AVG Score: -106.31
Save 187 - Episode 1294/1500, Score: -84.0 (0.01), AVG Score: -106.65
Save 188 - Episode 1296/1500, Score: -107.0 (0.01), AVG Score: -106.67
Save 189 - Episode 1297/1500, Score: -106.0 (0.01), AVG Score: -106.59
Save 190 - Episode 1299/1500, Score: -86.0 (0.01), AVG Score: -106.6
Save 191 - Episode 1300/1500, Score: -97.0 (0.01), AVG Score: -106.41
Save 192 - Episode 1303/1500, Score: -108.0 (0.01), AVG Score: -107.01
Save 193 - Episode 1304/1500, Score: -89.0 (0.01), AVG Score: -106.79
Save 194 - Episode 1306/1500, Score: -89.0 (0.01), AVG Score: -106.7
Save 195 - Episode 1307/1500, Score: -85.0 (0.01), AVG Score: -106.43
Save 196 - Episode 1309/1500, Score: -89.0 (0.01), AVG Score: -106.42
Save 197 - Episode 1310/1500, Score: -85.0 (0.01), AVG Score: -106.31
Save 198 - Episode 1311/1500, Score: -87.0 (0.01), AVG Score: -106.31
Save 199 - Episode 1313/1500, Score: -108.0 (0.01), AVG Score: -106.71
Save 200 - Episode 1316/1500, Score: -106.0 (0.01), AVG Score: -106.55
Save 201 - Episode 1317/1500, Score: -95.0 (0.01), AVG Score: -106.35
Save 202 - Episode 1319/1500, Score: -91.0 (0.01), AVG Score: -106.12
Save 203 - Episode 1322/1500, Score: -104.0 (0.01), AVG Score: -107.11
Save 204 - Episode 1323/1500, Score: -91.0 (0.01), AVG Score: -106.9
Save 205 - Episode 1326/1500, Score: -85.0 (0.01), AVG Score: -106.88
Save 206 - Episode 1328/1500, Score: -91.0 (0.01), AVG Score: -106.92
Save 207 - Episode 1329/1500, Score: -86.0 (0.01), AVG Score: -106.88
Save 208 - Episode 1332/1500, Score: -107.0 (0.01), AVG Score: -107.11
Save 209 - Episode 1334/1500, Score: -107.0 (0.01), AVG Score: -107.06
Save 210 - Episode 1338/1500, Score: -107.0 (0.01), AVG Score: -108.59
Save 211 - Episode 1339/1500, Score: -88.0 (0.01), AVG Score: -108.36
Save 212 - Episode 1340/1500, Score: -87.0 (0.01), AVG Score: -108.11
Save 213 - Episode 1341/1500, Score: -90.0 (0.01), AVG Score: -107.87
Save 214 - Episode 1343/1500, Score: -108.0 (0.01), AVG Score: -107.97
Save 215 - Episode 1345/1500, Score: -84.0 (0.01), AVG Score: -107.56
Save 216 - Episode 1346/1500, Score: -108.0 (0.01), AVG Score: -107.41
Save 217 - Episode 1348/1500, Score: -95.0 (0.01), AVG Score: -106.69
Save 218 - Episode 1349/1500, Score: -106.0 (0.01), AVG Score: -106.84
Save 219 - Episode 1352/1500, Score: -86.0 (0.01), AVG Score: -106.82
Save 220 - Episode 1353/1500, Score: -85.0 (0.01), AVG Score: -106.48
Save 221 - Episode 1354/1500, Score: -89.0 (0.01), AVG Score: -106.36
Save 222 - Episode 1355/1500, Score: -105.0 (0.01), AVG Score: -106.39
Save 223 - Episode 1356/1500, Score: -107.0 (0.01), AVG Score: -106.35
Save 224 - Episode 1357/1500, Score: -108.0 (0.01), AVG Score: -106.55
Save 225 - Episode 1359/1500, Score: -103.0 (0.01), AVG Score: -106.38
Save 226 - Episode 1360/1500, Score: -104.0 (0.01), AVG Score: -106.53
Save 227 - Episode 1362/1500, Score: -107.0 (0.01), AVG Score: -107.25
Save 228 - Episode 1363/1500, Score: -105.0 (0.01), AVG Score: -107.11
Save 229 - Episode 1365/1500, Score: -88.0 (0.01), AVG Score: -107.18
Save 230 - Episode 1367/1500, Score: -101.0 (0.01), AVG Score: -107.32
Save 231 - Episode 1368/1500, Score: -85.0 (0.01), AVG Score: -107.33
Save 232 - Episode 1369/1500, Score: -91.0 (0.01), AVG Score: -107.29
Save 233 - Episode 1370/1500, Score: -107.0 (0.01), AVG Score: -107.42
Save 234 - Episode 1372/1500, Score: -86.0 (0.01), AVG Score: -107.53
Save 235 - Episode 1373/1500, Score: -106.0 (0.01), AVG Score: -107.48
Save 236 - Episode 1374/1500, Score: -88.0 (0.01), AVG Score: -107.36
Save 237 - Episode 1375/1500, Score: -95.0 (0.01), AVG Score: -107.46
Save 238 - Episode 1376/1500, Score: -101.0 (0.01), AVG Score: -107.41
Save 239 - Episode 1377/1500, Score: -107.0 (0.01), AVG Score: -107.32
Save 240 - Episode 1378/1500, Score: -108.0 (0.01), AVG Score: -107.32
Save 241 - Episode 1379/1500, Score: -108.0 (0.01), AVG Score: -107.52
Save 242 - Episode 1380/1500, Score: -108.0 (0.01), AVG Score: -107.68
Save 243 - Episode 1381/1500, Score: -108.0 (0.01), AVG Score: -107.86
Save 244 - Episode 1382/1500, Score: -106.0 (0.01), AVG Score: -108.01
Save 245 - Episode 1383/1500, Score: -91.0 (0.01), AVG Score: -107.76
Save 246 - Episode 1384/1500, Score: -108.0 (0.01), AVG Score: -107.13
Save 247 - Episode 1385/1500, Score: -108.0 (0.01), AVG Score: -107.07
Save 248 - Episode 1386/1500, Score: -107.0 (0.01), AVG Score: -107.08
Save 249 - Episode 1387/1500, Score: -107.0 (0.01), AVG Score: -106.95
Save 250 - Episode 1389/1500, Score: -108.0 (0.01), AVG Score: -107.64
Save 251 - Episode 1391/1500, Score: -91.0 (0.01), AVG Score: -107.49
Save 252 - Episode 1397/1500, Score: -87.0 (0.01), AVG Score: -107.31
Save 253 - Episode 1398/1500, Score: -106.0 (0.01), AVG Score: -107.27
Save 254 - Episode 1399/1500, Score: -85.0 (0.01), AVG Score: -107.26
Save 255 - Episode 1400/1500, Score: -101.0 (0.01), AVG Score: -107.3
Save 256 - Episode 1401/1500, Score: -108.0 (0.01), AVG Score: -107.21
Save 257 - Episode 1402/1500, Score: -107.0 (0.01), AVG Score: -107.18
Save 258 - Episode 1404/1500, Score: -108.0 (0.01), AVG Score: -107.63
Save 259 - Episode 1406/1500, Score: -107.0 (0.01), AVG Score: -107.76
Save 260 - Episode 1407/1500, Score: -106.0 (0.01), AVG Score: -107.97
Save 261 - Episode 1408/1500, Score: -90.0 (0.01), AVG Score: -107.75
Save 262 - Episode 1409/1500, Score: -94.0 (0.01), AVG Score: -107.8
Save 263 - Episode 1410/1500, Score: -100.0 (0.01), AVG Score: -107.95
Save 264 - Episode 1411/1500, Score: -103.0 (0.01), AVG Score: -108.11
Save 265 - Episode 1412/1500, Score: -92.0 (0.01), AVG Score: -107.93
Save 266 - Episode 1413/1500, Score: -105.0 (0.01), AVG Score: -107.9
Save 267 - Episode 1414/1500, Score: -107.0 (0.01), AVG Score: -107.87
Save 268 - Episode 1415/1500, Score: -108.0 (0.01), AVG Score: -107.86
Save 269 - Episode 1419/1500, Score: -108.0 (0.01), AVG Score: -108.86
Save 270 - Episode 1420/1500, Score: -98.0 (0.01), AVG Score: -108.36
Save 271 - Episode 1421/1500, Score: -92.0 (0.01), AVG Score: -107.75
Save 272 - Episode 1423/1500, Score: -107.0 (0.01), AVG Score: -108.61
Save 273 - Episode 1424/1500, Score: -91.0 (0.01), AVG Score: -107.81
Save 274 - Episode 1425/1500, Score: -92.0 (0.01), AVG Score: -107.63
Save 275 - Episode 1429/1500, Score: -108.0 (0.01), AVG Score: -108.98
Save 276 - Episode 1431/1500, Score: -93.0 (0.01), AVG Score: -108.81
Save 277 - Episode 1435/1500, Score: -104.0 (0.01), AVG Score: -109.19
Save 278 - Episode 1436/1500, Score: -108.0 (0.01), AVG Score: -109.18
Save 279 - Episode 1438/1500, Score: -98.0 (0.01), AVG Score: -108.18
Save 280 - Episode 1440/1500, Score: -84.0 (0.01), AVG Score: -109.06
Save 281 - Episode 1442/1500, Score: -108.0 (0.01), AVG Score: -109.22
Save 282 - Episode 1443/1500, Score: -94.0 (0.01), AVG Score: -109.08
Save 283 - Episode 1445/1500, Score: -108.0 (0.01), AVG Score: -109.31
Save 284 - Episode 1446/1500, Score: -108.0 (0.01), AVG Score: -109.31
Save 285 - Episode 1448/1500, Score: -83.0 (0.01), AVG Score: -109.18
Save 286 - Episode 1452/1500, Score: -93.0 (0.01), AVG Score: -108.86
Save 287 - Episode 1453/1500, Score: -108.0 (0.01), AVG Score: -109.09
Save 288 - Episode 1454/1500, Score: -95.0 (0.01), AVG Score: -109.15
Save 289 - Episode 1455/1500, Score: -94.0 (0.01), AVG Score: -109.04
Save 290 - Episode 1456/1500, Score: -108.0 (0.01), AVG Score: -109.05
